n	time (sec)	Rate (MB/sec)
1	0.000098	0.077530
2	0.000002	6.289623
4	0.000002	12.508537
8	0.000003	23.493783
16	0.000049	2.491242
32	0.000004	58.367973
64	0.000004	111.032767
128	0.000005	205.988297
256	0.000005	410.425226
512	0.000004	1061.998125
1024	0.000009	895.210267
2048	0.000011	1358.813810
4096	0.000017	1857.907253
8192	0.000028	2226.576416
16384	0.000051	2467.722194
32768	0.000091	2743.755213
65536	0.000173	2888.236789
131072	0.000338	2954.235931
262144	0.000668	2992.341103
524288	0.001329	3009.550809
1048576	0.002652	3016.858583
2097152	0.005641	2836.444913
4194304	0.011392	2808.953504
8388608	0.022884	2796.677809
